,Prosjek,Medijan,Standardna devijacija
Age,78.822,79.0,21.308
Flight Distance,2385.042,2101.0,1415.621
Inflight wifi service,5.642,6.0,1.749
Departure/Arrival time convenient,6.425,6.0,1.915
Ease of Online booking,5.778,6.0,1.805
Gate location,5.944,6.0,1.813
Food and drink,6.427,6.0,1.885
Online boarding,6.7,7.0,1.774
Seat comfort,6.884,7.0,1.869
Inflight entertainment,6.715,7.0,1.884
On-board service,6.763,7.0,1.81
Leg room service,6.727,7.0,1.843
Baggage handling,7.267,7.0,1.669
Checkin service,6.625,7.0,1.801
Inflight service,7.29,7.0,1.668
Cleanliness,6.574,7.0,1.865
Departure Delay in Minutes,47.166,32.0,48.671
Arrival Delay in Minutes,49.043,34.0,48.931
